system:index,potential_evaporation_sum
20030814,-0.016441797925009927
20030815,-0.006476138825538861
20030816,-0.009359249640850976
20030817,-0.011311734700985272
20030818,-0.014007879693603464
20030819,-0.01212978649782361
20030820,-0.011528031477039109
20030821,-0.012870998042130965
20030822,-0.008422713708586807
20030823,-0.005882170577579205
20030824,-0.032902956972971666
20030825,-0.021511211225831803
20030826,-0.017970583987110118
20030827,-0.018299681744085115
20030828,-0.01838199241409536
20030829,-0.02105945109504235
20030830,-0.02102148289772803
20030831,-0.025334420385434448
20030901,-0.018221021902780004
20030902,-0.015456367564135407
20030903,-0.02245141188980558
20030904,-0.017384764981128953
20030905,-0.029136338262723438
20030906,-0.027662700990171374
20030907,-0.020052267168150912
20030908,-0.013641943568436374
20030909,-0.02133749870272895
20030910,-0.030216882304986984
20030911,-0.027409975446136797
20030912,-0.01957583860226063
20030913,-0.027801504159411326
20030914,-0.05011725452510081
20030915,-0.038785780666160424
20030916,-0.03642619349622593
20030917,-0.035795451658722846
20030918,-0.03200149272842745
20030919,-0.04253069959058213
20030920,-0.02796964876527968
20030921,-0.033314936425417906
20030922,-0.056845840203243465
20030923,-0.053634497032847124
20030924,-0.046385610624042485
20030925,-0.052098153872888
20030926,-0.04839849746089379
20030927,-0.04538373731962844
20030928,-0.02990266308656793
20030929,-0.03757862971225875
20030930,-0.01977212636171648
20031001,-0.0068162613248357465
20031002,-0.017244199743395566
20031003,-0.00698532457249171
20031004,-0.012155414398723068
20031005,-0.007496715299382348
20031006,-0.006337022221969665
20031007,-0.010662586315960504
20031008,-0.02863882422214901
20031009,-0.0170186075304422
20031010,-0.03047001396430207
20031011,-0.02665003590812208
20031012,-0.019078080260951463
20031013,-0.013267065401064683
20031014,-0.022912152317606203
20031015,-0.026220915678055814
20031016,-0.0119851905274607
20031017,-0.006576009624892212
20031018,-0.020254592580998508
20031019,-0.028549695474315524
20031020,-0.017255920656578064
20031021,-0.03202601323475152
20031022,-0.028140619397912757
20031023,-0.0241865439397143
20031024,-0.01720028589621302
20031025,-0.018917609132247437
20031026,-0.02188772925044352
20031027,-0.032108837399076266
20031028,-0.05404868592096687
20031029,-0.04272627525662907
20031030,-0.03596983041060699
20031031,-0.023070927536049946
