system:index,PET
2012_08_12,210.80160189854638
2012_08_20,263.2307920498368
2012_08_28,309.01364580243256
2012_09_05,362.32880450904776
2012_09_13,347.5161673094037
2012_09_21,394.26283002076525
2012_09_29,442.77727677247105
2012_10_07,369.73752595668947
2012_10_15,536.2711361613764
2012_10_23,469.27617917531904
2012_10_31,509.6863245327797
2012_11_08,475.4729160486503
2012_11_16,445.20355977454767
2012_11_24,542.9450014832393
2012_12_02,534.9661821417976
2012_12_10,599.2962325719371
2012_12_18,576.0652032037973
2012_12_26,443.8326312666866
2013_01_01,711.7443488579058
2013_01_09,640.4682290121627
2013_01_17,526.6462770691188
2013_01_25,494.50970038564225
2013_02_02,548.6596262236723
2013_02_10,531.1700385642241
2013_02_18,386.3009196084248
2013_02_26,347.36529219816083
2013_03_06,444.2214773064373
2013_03_14,421.86739839810144
2013_03_22,411.57911598932077
2013_03_30,283.4070008899437
2013_04_07,293.60961139127875
2013_04_15,247.29563927617923
2013_04_23,306.55372293088107
2013_05_01,198.20468703648763
2013_05_09,176.50293681400183
2013_05_17,140.22681696825867
2013_05_25,165.77941263719964
2013_06_02,125.44503114802728
2013_06_10,129.6062889350341
2013_06_18,89.17964995550282
2013_06_26,87.85452388015426
2013_07_04,138.9127261940077
2013_07_12,155.2894690002967
2013_07_20,148.19519430436074
2013_07_28,182.9879560961139
2013_08_05,222.2121625630376
2013_08_13,250.0894690002966
2013_08_21,261.51592999110056
2013_08_29,319.6835953722932
2013_09_06,351.1841590032632
2013_09_14,342.52233758528627
2013_09_22,458.5292198160783
2013_09_30,455.2205873628003
2013_10_08,519.537051320083
2013_10_16,543.5834470483537
2013_10_24,515.0882824087807
2013_11_01,570.9673687333135
2013_11_09,439.88341738356564
2013_11_17,451.3973894986653
2013_11_25,531.952358350638
2013_12_03,635.3752002373183
2013_12_11,617.3011569267277
2013_12_19,588.1814891723525
2013_12_27,412.117235241768
2014_01_01,582.7500444971819
2014_01_09,625.8666271136162
2014_01_17,584.3457134381491
2014_01_25,637.6923168199347
2014_02_02,586.9253040640759
2014_02_10,450.28294274695946
2014_02_18,425.5148027291604
2014_02_26,374.5733016908929
2014_03_06,475.99685553248315
2014_03_14,419.70732720261054
2014_03_22,248.0176208840107
2014_03_30,340.42598635419756
2014_04_07,293.01174725600714
2014_04_15,277.63328389202013
2014_04_23,225.0408187481459
2014_05_01,182.25327795906253
2014_05_09,188.5369326609315
2014_05_17,183.96612281222193
2014_05_25,169.25576980124598
2014_06_02,137.26514387422128
2014_06_10,125.43583506377928
2014_06_18,144.49997033521208
2014_06_26,149.6549985167606
2014_07_04,159.32999110056357
2014_07_12,132.7464847226342
2014_07_20,132.5045387125482
2014_07_28,200.68721447641644
2014_08_05,209.61702758825274
2014_08_13,133.15087511124295
2014_08_21,156.30317413230495
2014_08_29,192.1542568970632
2014_09_06,284.40047463660636
2014_09_14,360.3889646989023
2014_09_22,366.5766834767132
2014_09_30,475.5008009492731
2014_10_08,419.8556511420944
2014_10_16,482.01334915455345
2014_10_24,616.433877187778
2014_11_01,518.0884010679324
2014_11_09,602.5988727380599
2014_11_17,655.2892316819936
2014_11_25,469.54464550578484
2014_12_03,513.0911302284189
2014_12_11,518.1362800355978
2014_12_19,577.3947789973303
2014_12_27,324.3652921981609
2015_01_01,599.6770691189558
2015_01_09,566.8185701572233
2015_01_17,535.3556808068821
2015_01_25,514.484129338475
2015_02_02,568.3277365766836
2015_02_10,547.4893503411452
2015_02_18,448.3700385642242
2015_02_26,503.4983684366657
2015_03_06,439.6794423019877
2015_03_14,425.5820824681105
2015_03_22,416.5970335212104
2015_03_30,283.29338475229906
2015_04_07,300.840818748146
2015_04_15,228.8431919311777
2015_04_23,231.02824087807764
2015_05_01,208.15514684070004
2015_05_09,185.59442301987542
2015_05_17,127.86805102343519
2015_05_25,136.78771877781068
2015_06_02,142.0079501631563
2015_06_10,110.16232571937114
2015_06_18,128.04971818451497
2015_06_26,140.70103826757637
2015_07_04,145.30008899436365
2015_07_12,108.61299317709879
2015_07_20,138.92785523583504
2015_07_28,199.58475229902115
2015_08_05,209.12536339365175
2015_08_13,240.88252743992885
2015_08_21,220.43814891723528
2015_08_29,266.3283892020171
2015_09_06,314.5348561257787
2015_09_14,300.97709878374366
2015_09_22,301.31029368140014
2015_09_30,501.1926431326017
2015_10_08,414.2878671017503
2015_10_16,451.8560664491249
2015_10_24,411.9257193711066
2015_11_01,407.9032334618808
2015_11_09,458.505191337882
2015_11_17,654.1163452981311
2015_11_25,584.0428952832989
2015_12_03,537.1949569860576
2015_12_11,594.2714921388313
2015_12_19,501.20551765054876
2015_12_27,359.65784633639885
2016_01_01,428.4679323642837
2016_01_09,582.3360427172946
2016_01_17,578.2728567190744
2016_01_25,509.3391278552361
2016_02_02,511.05078611687924
2016_02_10,600.7980421239989
2016_02_18,601.202847819638
2016_02_26,521.3609018095519
2016_03_05,497.1632156630081
2016_03_13,372.34161969741905
2016_03_21,384.09510530999717
2016_03_29,370.9680806882232
