,P_mm,EP_mm,Q_mm,RC
1990-07-01,77.3670257534221,44.51956761383004,25.10371382113821,0.3244756222262793
1990-08-01,75.49274215525803,57.6005651150232,34.562666666666665,0.45782767561397153
1990-09-01,83.85102753323608,74.8229390107641,33.517840650406505,0.399730827831788
1990-10-01,59.399940271177506,100.6664449334977,13.285385365853658,0.2236599111918652
1990-11-01,24.765001119675794,97.6914774524844,7.032533333333333,0.28397064467507677
1990-12-01,86.81963392493923,108.9101369698537,3.514809756097561,0.04048404257424449
1991-01-01,155.53277622111094,115.6310358246539,5.918543089430894,0.03805334948189237
1991-02-01,53.4615512784042,94.5265794446857,3.2697365853658535,0.06116052578307177
1991-03-01,41.56449221855662,79.0843678651909,1.892839024390244,0.04553980870107151
1991-04-01,18.390167581754067,51.815911210877175,1.3427642276422764,0.07301533396435764
1991-05-01,104.5462331542716,41.890877987537095,2.1242146341463415,0.020318423438669336
1991-06-01,87.37867695310312,40.85504115555066,15.445541463414635,0.1767655680081353
1991-07-01,41.005643456754974,38.99846929744727,5.129144715447154,0.1250838734150437
1991-08-01,9.727492301173834,52.0219415841199,2.624013008130081,0.26975225750766585
1991-09-01,16.10921292572662,60.894227458824396,1.6594731707317074,0.10301391994648648
1991-10-01,38.2662293699142,65.13279568411279,0.7118829268292683,0.018603424966374328
1991-11-01,109.03058230232065,83.3077239427632,0.6125268292682927,0.005617935961947582
1991-12-01,229.6666708135522,113.2154809933929,4.325554471544716,0.018834053962737518
1992-01-01,103.51771799403735,126.4255217650949,6.215609756097561,0.060043921722227125
1992-02-01,246.82920307992384,95.0062984983295,53.11517398373984,0.2151899909774494
1992-03-01,85.33479553060361,92.0071147360231,19.079661788617887,0.22358595541223683
1992-04-01,93.90663933403161,68.429604482428,29.20559349593496,0.3110066945538206
1992-05-01,24.747254860510687,44.89765151181042,7.485164227642277,0.3024644256436858
1992-06-01,26.388830056017536,34.75335816795707,4.820318699186992,0.18266511584464118
1992-07-01,22.587300157612223,41.883770438593004,6.041313821138211,0.26746507014926296
