system:index,ET
2010_02_26,254.9520617027589
2010_03_06,265.94007712844854
2010_03_14,270.1444081874813
2010_03_22,260.8321566300801
2010_03_30,191.00112726194007
2010_04_07,189.88377336102056
2010_04_15,186.43897953129638
2010_04_23,151.5814891723524
2010_05_01,146.1139127855236
2010_05_09,124.37881934144171
2010_05_17,83.30139424503115
2010_05_25,97.36256303767428
2010_06_02,87.91943043607242
2010_06_10,84.46538119252448
2010_06_18,91.36463957282707
2010_06_26,72.42776624147136
2010_07_04,78.8962325719371
2010_07_12,80.50157223375852
2010_07_20,90.73574606941558
2010_07_28,91.3956096113913
2010_08_05,97.29065559181251
2010_08_13,113.29836843666563
2010_08_21,123.82195194304364
2010_08_29,151.57306437258973
2010_09_06,159.72536339365175
2010_09_14,155.07772174428953
2010_09_22,197.15401957876003
2010_09_30,186.584218332839
2010_10_08,198.8622367250074
2010_10_16,239.11598932067645
2010_10_24,259.9651142094334
2010_11_01,222.73681400177983
2010_11_09,323.45927024621795
2010_11_17,284.9420943340255
2010_11_25,293.39145654108574
2010_12_03,320.51047167012763
2010_12_11,313.9712251557402
2010_12_19,330.9944823494512
2010_12_27,245.63358053989916
2011_01_01,377.42396914862064
2011_01_09,386.7648175615545
2011_01_17,365.4954019578761
2011_01_25,426.0904776030851
2011_02_02,317.59139721150984
2011_02_10,307.390566597449
2011_02_18,305.5012162563036
2011_02_26,283.63162266389793
2011_03_06,264.1705725304064
2011_03_14,268.9445861762088
2011_03_22,239.5608424799762
2011_03_30,211.5166419460101
2011_04_07,191.66247404331057
2011_04_15,175.87718777810736
2011_04_23,151.21679026994954
2011_05_01,135.50513200830616
2011_05_09,109.5893206763572
2011_05_17,118.2854939187185
2011_05_25,73.16529219816081
2011_06_02,99.71937110649658
2011_06_10,74.39483832690598
2011_06_18,92.7037674280629
2011_06_26,92.74583209730052
2011_07_04,88.14856125778701
2011_07_12,78.61026401661229
2011_07_20,80.61311183625038
2011_07_28,115.8220706021952
