member,NSE,logNSE,Imax,Ce,Sumax,Beta,Pmax,Tlag,Kf,Ks
75,-1.8091159227923561,-2.099856282743859,3.240819658911933,0.6192818602843752,311.56567886340724,1.7945073258616484,0.23933638226164275,6.47398340411336,0.027283449959512596,0.00010033998579710678
76,-1.7850139207316715,-2.3298591295152056,1.1863322608075455,0.5009109760178161,526.9937542009629,2.380972306044349,0.2505186896138129,2.250512518260759,0.010720217837549959,0.008722815250866956
77,-2.3740299365088666,-2.130081897190027,5.45829704539667,0.7378712342538494,495.11273599369764,1.3495845609335053,0.13641262443577476,7.673856964607426,0.061160111762305014,0.004069083210698168
78,-2.141807860197208,-2.137734283483767,1.3079100061169475,0.6008859530186008,219.0121904434396,2.4030262017315946,0.20420463350386153,2.2386710838819806,0.053406756029906466,0.005041553458167227
79,-2.203906408111411,-2.1732998879633003,5.185801928532085,0.5938757572951711,488.16915954330204,2.351691980245364,0.028887015279908175,5.878605818281921,0.03681193251488155,0.009373708040956243
80,-2.2026726040167524,-2.0582533279042483,2.0129131453638243,0.76210345236555,797.7250406740712,1.507309175506343,0.2170485186231234,3.1597715158455575,0.09375473454040134,0.0054320653110709795
81,-2.453429103592169,-2.084977330264877,0.33100401040721383,0.7661073542970147,79.88072411707718,1.3378532457873502,0.10160575441548934,4.564112478395033,0.07316267167776577,0.004758986793814621
82,-2.3480319070975484,-2.142751996591146,7.66978080252779,0.49665108152203485,220.5155297539026,1.27503423094109,0.007740193628537389,7.401459381138611,0.047279341054165085,0.007018732148234442
83,-1.8811552883284826,-2.3226267368910434,0.5297638465074526,0.40750675689245286,291.5499428628357,1.082466236929309,0.21182937334581955,6.44427015989143,0.012131053144247185,0.004142544539325879
84,-2.3709257141419235,-2.10514070673131,4.103521488685107,0.6681158784699089,648.7099845809295,2.4341199241143667,0.1649265582821176,6.243222830198824,0.0721660524133579,0.005922468254527894
85,-2.1436427755072485,-2.120798621880986,2.7303727297593676,0.5082253633546053,377.19637489090724,1.2202178405129727,0.2486521402089436,1.775877849850948,0.07056532874010785,0.007398716410820026
86,-2.2858442447855123,-2.162756242710462,5.280078549163182,0.4057225806161204,87.66986992132328,2.436659937691932,0.0354497636795942,7.392599284337991,0.04037908620297066,0.001433426896228482
87,-2.56443864361858,-2.090749436613837,6.755418696950314,0.43885215654812826,281.87515566200125,1.5086913516921663,0.29796896863789796,7.321539877396333,0.09750901987650858,0.006931264565063727
88,-2.5247101442839828,-2.0516998218133096,4.830932453656845,0.567535082167589,671.1946653934014,1.0889680578605616,0.10042364862158523,7.88880580361234,0.09290599263659478,0.003213780904864056
89,-2.136490442263523,-2.114492808097441,4.697709527805882,0.44821929080701883,601.2199114282024,2.2288470088081085,0.04104991543055265,1.7911048631199304,0.05522784008272538,0.0028148483492649256
90,-2.5048941036758072,-2.0441779930235735,0.9362642842771347,0.48283559901921885,251.9145278418646,2.2051037739852637,0.013669956441694931,3.6796186285268058,0.08619219354121035,0.00470065700573217
91,-2.3203786152842603,-2.0520082090858156,5.683602683542215,0.6980221863147491,593.7361162844957,1.6949866385976398,0.0969354651776655,2.9247321644553845,0.08668173562124273,0.0020635475165194433
92,-2.3006048420459297,-2.160301157992494,1.6361860627610625,0.5822751982248958,282.9670144324911,2.158531941047462,0.06375667784899687,6.940969521870255,0.04322831902346328,0.009286924481420844
93,-2.684026954241068,-2.0560978947987585,3.922942346057277,0.44540385383516884,155.93145110155103,2.1232288239558774,0.17272172532392246,7.293992223360845,0.09936991047826634,0.009228575231781715
94,-2.0221677114912993,-2.1691230634460594,0.29286824348808604,0.486129465988738,788.5075785707286,1.6760382326695447,0.2875577289042678,4.536350047926573,0.045039285460346516,0.006434165934888074
95,-2.364717875106366,-2.0694650894601083,2.5232286047101677,0.7720973016669218,238.8388360241867,1.4250571592337977,0.06582253674439371,2.5489771657851614,0.07846063458159834,0.0036643895851404904
96,-2.0371420365223307,-2.1343918952806207,6.904243256794735,0.40315789917638467,502.556679097739,1.2137342539100024,0.09940772688095846,1.3377623078666079,0.051025056416091924,0.004869486936710946
97,-1.9463583563510563,-2.240224384104795,4.467732945793351,0.6567487357692348,737.3645326370436,2.365125711555625,0.08056893183229445,7.1667481400054855,0.020326876009614712,0.005233295968800151
98,-2.336297884848861,-2.102466306977833,4.373662610211885,0.6578650110568081,528.6726720114447,1.118658621433732,0.08204776836694379,7.638899671742149,0.060428518716207934,0.0007353209438672263
99,-2.397664189710808,-2.1012949474367955,2.9425972714728976,0.6721005121507198,364.3524430106757,2.088491242434178,0.20644098250951967,6.2827359354166745,0.07363834837334253,0.0019671520783294
