system:index,ET
2008_08_20,117.65008636907999
2008_08_28,127.2813081231649
2008_09_05,138.6923273830765
2008_09_13,178.95780971136423
2008_09_21,207.09318801814743
2008_09_29,248.27472283387374
2008_10_07,233.92025295248132
2008_10_15,250.84443660287167
2008_10_23,284.99655472767716
2008_10_31,268.97353657958337
2008_11_08,272.6786090291893
2008_11_16,257.1482272602182
2008_11_24,297.41934032318443
2008_12_02,310.5657095803442
2008_12_10,290.54499466141266
2008_12_18,327.9082916928506
2008_12_26,235.36552709695917
2009_01_01,332.2401406671488
2009_01_09,348.66681906027736
2009_01_17,279.73846368895164
2009_01_25,370.38823358438106
2009_02_02,329.97801087439785
2009_02_10,222.52155589836357
2009_02_18,292.2697400525748
2009_02_26,275.5653069749391
2009_03_06,276.3367066501612
2009_03_14,283.81660827138455
2009_03_22,264.78936763459285
2009_03_30,203.67263109959111
2009_04_07,178.55820937512124
2009_04_15,160.30980213008158
2009_04_23,155.2665233099858
2009_05_01,143.49272024013715
2009_05_09,132.2758327733629
2009_05_17,104.41047777066271
2009_05_25,107.06037389537619
2009_06_02,98.4694199674099
2009_06_10,96.04807868177487
2009_06_18,88.25729384324569
2009_06_26,92.60049271405992
2009_07_04,82.81208441909526
2009_07_12,92.34623914822296
2009_07_20,106.01747383636207
2009_07_28,110.85889889916582
2009_08_05,111.78374821015115
2009_08_13,136.4072086196835
2009_08_21,164.26986855687565
2009_08_29,161.12041950478564
2009_09_06,177.42526161880767
2009_09_14,220.52587175744387
2009_09_22,200.28656107615143
2009_09_30,199.37618524920796
2009_10_08,208.18732672735143
2009_10_16,267.3297753999964
2009_10_24,230.0044301860206
2009_11_01,245.8040226318133
2009_11_09,336.9332336722817
2009_11_17,370.8521911816525
2009_11_25,344.22680617098626
2009_12_03,351.97192913813524
2009_12_11,329.63642065559367
2009_12_19,275.128318799204
2009_12_27,151.4671965676575
2010_01_01,364.6150402045104
2010_01_09,405.82222513277
2010_01_17,389.996599508272
2010_01_25,305.91912023657176
2010_02_02,333.9432933787427
2010_02_10,364.2356045951868
2010_02_18,321.4251615375756
2010_02_26,256.33083633915993
2010_03_06,266.40523699013505
2010_03_14,270.1561254954399
2010_03_22,260.18780719537335
2010_03_30,195.41354667130403
2010_04_07,192.20734803625652
2010_04_15,190.53391404109092
2010_04_23,154.5675071607268
2010_05_01,149.07971655589304
2010_05_09,127.61179248067852
2010_05_17,87.3362042082053
2010_05_25,101.03983000621939
2010_06_02,90.81327527346131
2010_06_10,87.08197638033175
2010_06_18,94.0924089894606
2010_06_26,74.87266141102214
2010_07_04,82.82866347066484
2010_07_12,83.32554614291344
2010_07_20,93.52554547310136
2010_07_28,94.54475976113166
2010_08_05,99.76043659162968
2010_08_13,115.35466052004587
2010_08_21,126.55358269302815
2010_08_29,154.5883990982325
2010_09_06,163.01756746845655
2010_09_14,157.41762670971102
2010_09_22,199.21434418299742
2010_09_30,190.35702688461691
2010_10_08,201.14943461598267
2010_10_16,242.19670103360195
2010_10_24,262.41029083845115
2010_11_01,226.668427448658
2010_11_09,325.63862140769544
2010_11_17,285.9013269458007
2010_11_25,299.21870425357116
2010_12_03,325.35671181913654
2010_12_11,314.9552635724425
2010_12_19,326.3804567210413
2010_12_27,243.58794965050976
2011_01_01,376.8110066955782
2011_01_09,386.653167877807
2011_01_17,363.76584789593085
2011_01_25,424.2144979809987
2011_02_02,316.40956184676224
2011_02_10,308.6458868901165
2011_02_18,306.6351747223758
2011_02_26,285.2358793840732
2011_03_06,265.9197134058245
2011_03_14,273.962633637309
2011_03_22,241.95238678382856
2011_03_30,214.19248176999676
2011_04_07,193.77276382146172
2011_04_15,176.86389445626725
2011_04_23,154.28204213516543
2011_05_01,137.33404430877357
2011_05_09,112.7913232023238
2011_05_17,121.18224252757109
2011_05_25,76.95967325889731
2011_06_02,102.69451590637675
2011_06_10,77.67967294195726
2011_06_18,95.5218401974085
2011_06_26,95.42221739185206
2011_07_04,90.60374667710232
2011_07_12,80.32952151588098
2011_07_20,83.66422335346167
2011_07_28,115.6683795610091
2011_08_05,106.81786719075168
2011_08_13,122.49325738831055
2011_08_21,134.18906995200135
2011_08_29,157.90370189783013
2011_09_06,158.6768480295948
2011_09_14,212.98935368082826
2011_09_22,191.503658122788
2011_09_30,165.2658648926526
2011_10_08,216.4245241128915
2011_10_16,269.0470490167757
2011_10_24,253.73612090449456
2011_11_01,322.2274994898185
2011_11_09,306.34274501463636
2011_11_17,287.633479121745
2011_11_25,317.47878627204494
2011_12_03,291.7354645571344
2011_12_11,293.33166792143436
2011_12_19,357.20320243243845
2011_12_27,193.1548590870673
2012_01_01,374.49303664817177
2012_01_09,319.5899828568665
2012_01_17,307.2097684739848
2012_01_25,276.6814674326087
2012_02_02,340.88528660953057
2012_02_10,336.7160691855414
2012_02_18,325.2503569543579
2012_02_26,302.9210960353581
2012_03_05,266.8740084409291
2012_03_13,261.36361941107396
2012_03_21,244.88702017756344
2012_03_29,242.65874152362733
