system:index,Evap_tavg
A20000216_0600,1.1310635913412821E-4
A20000216_0900,3.5852177999609405E-5
A20000216_1200,-1.9962357898262063E-6
A20000216_1500,-2.6195338251253984E-6
A20000216_1800,-2.19403564523966E-6
A20000216_2100,3.298858131701686E-6
A20000217_0000,7.593620076847429E-5
A20000217_0300,1.4065340970710835E-4
A20000217_0600,1.2107858142170761E-4
A20000217_0900,3.550721424945923E-5
A20000217_1200,-1.0170997667904596E-6
A20000217_1500,-9.488921567231506E-7
A20000217_1800,-1.4280482491966183E-6
A20000217_2100,3.7692334733445332E-6
A20000218_0000,7.77676701623987E-5
A20000218_0300,1.350423551010553E-4
A20000218_0600,1.1855400480507697E-4
A20000218_0900,3.938510450786133E-5
A20000218_1200,-1.2787372007767895E-6
A20000218_1500,1.4639099645289077E-6
A20000218_1800,-1.602096325062343E-6
A20000218_2100,6.27594875587273E-6
A20000219_0000,1.106053284490114E-4
A20000219_0300,1.4612926949345882E-4
A20000219_0600,1.3240105180186654E-4
A20000219_0900,4.569803196673036E-5
A20000219_1200,-1.0357966334364958E-7
A20000219_1500,-8.779648501075314E-7
A20000219_1800,-1.4908800693185697E-6
A20000219_2100,4.681653016399451E-6
A20000220_0000,8.47507286234525E-5
A20000220_0300,1.5141253414849146E-4
A20000220_0600,1.2027157862545639E-4
A20000220_0900,4.452528562818642E-5
A20000220_1200,5.198132962593967E-6
A20000220_1500,2.5253769162492116E-6
A20000220_1800,1.7846614518153671E-6
A20000220_2100,7.893820513221703E-6
A20000221_0000,9.944691949126562E-5
A20000221_0300,1.434273849029673E-4
A20000221_0600,1.1275499695127304E-4
A20000221_0900,4.025387862998251E-5
A20000221_1200,6.96174055308719E-6
A20000221_1500,4.530864501532712E-6
A20000221_1800,3.7366750815544384E-6
A20000221_2100,5.256678156213957E-6
A20000222_0000,7.922938381443184E-5
A20000222_0300,1.3527922868781644E-4
A20000222_0600,1.0119556388797894E-4
A20000222_0900,3.690278417634611E-5
A20000222_1200,1.4215198818325598E-5
A20000222_1500,1.4002489528951347E-5
A20000222_1800,1.0360754912465882E-5
A20000222_2100,1.0305760721455776E-5
A20000223_0000,8.200379696419896E-5
A20000223_0300,1.3706413507801795E-4
A20000223_0600,9.75938035715152E-5
A20000223_0900,3.379210073966788E-5
A20000223_1200,1.8354035851102024E-6
A20000223_1500,1.342501617459284E-6
A20000223_1800,1.1798114909062576E-7
A20000223_2100,5.9842076578595084E-6
A20000224_0000,9.581460545151023E-5
A20000224_0300,1.4783047631107706E-4
A20000224_0600,1.271932286388308E-4
A20000224_0900,4.123732676057749E-5
A20000224_1200,4.490996665505502E-7
A20000224_1500,4.42456189816282E-7
A20000224_1800,-1.219486254742344E-7
A20000224_2100,4.070759516831553E-6
A20000225_0000,7.050634082808068E-5
A20000225_0300,1.2930335592036067E-4
A20000225_0600,1.0484703750798579E-4
A20000225_0900,3.499773569198129E-5
A20000225_1200,6.085901525956704E-7
A20000225_1500,1.0664520944977003E-7
A20000225_1800,-7.196061606810899E-7
A20000225_2100,3.5003943826418576E-6
A20000226_0000,7.974475102033024E-5
A20000226_0300,1.3660770626075167E-4
A20000226_0600,1.1219165795890994E-4
A20000226_0900,3.5013535069008745E-5
A20000226_1200,2.407343693429911E-7
A20000226_1500,-1.5406052088449505E-6
A20000226_1800,-1.4513746797028586E-6
A20000226_2100,1.9332718442557516E-6
A20000227_0000,7.295073520566066E-5
A20000227_0300,1.3289450343865707E-4
A20000227_0600,1.1103644963717148E-4
A20000227_0900,2.9004159782105948E-5
A20000227_1200,1.4789654569869018E-6
A20000227_1500,9.076717364046872E-7
A20000227_1800,1.776202179957551E-7
A20000227_2100,2.613205671562669E-6
A20000228_0000,6.458331574195616E-5
A20000228_0300,1.1810927884242111E-4
A20000228_0600,1.0037052470675525E-4
A20000228_0900,3.0103864314033087E-5
A20000228_1200,3.056731262939392E-7
A20000228_1500,-2.825314225808088E-7
A20000228_1800,-2.2382781245473553E-7
A20000228_2100,1.9933150796038945E-6
A20000229_0000,6.163245165137489E-5
A20000229_0300,1.0129382785095074E-4
A20000229_0600,7.766854360654352E-5
A20000229_0900,2.226583878661328E-5
A20000229_1200,1.5019408434391366E-6
A20000229_1500,4.434344199434674E-7
A20000229_1800,3.0820270386808297E-7
A20000229_2100,2.7954069417256455E-6
A20000301_0000,5.811699067357098E-5
A20000301_0300,1.1256521159376716E-4
A20000301_0600,9.341960802528827E-5
A20000301_0900,2.3794190078805153E-5
A20000301_1200,1.9022512598835695E-7
A20000301_1500,-3.9044220415637027E-7
A20000301_1800,-1.2553988563889935E-7
A20000301_2100,9.552624752669705E-7
A20000302_0000,4.931607605848042E-5
A20000302_0300,9.50608983944711E-5
A20000302_0600,8.559179170834474E-5
A20000302_0900,2.8021085692808374E-5
A20000302_1200,-1.4299065205818767E-6
A20000302_1500,-1.5728796649339552E-6
A20000302_1800,-2.8538888405344842E-6
A20000302_2100,4.1571345014069453E-7
A20000303_0000,7.04671172422357E-5
A20000303_0300,1.2965114384801577E-4
A20000303_0600,1.1335463948685465E-4
A20000303_0900,3.2412964896045504E-5
A20000303_1200,-4.752952233427188E-7
A20000303_1500,-1.321299508273938E-6
A20000303_1800,-2.6504350725450545E-6
A20000303_2100,1.5181240710034539E-6
A20000304_0000,1.1530471299521612E-4
A20000304_0300,2.162609493298606E-4
A20000304_0600,1.1354777178961784E-4
A20000304_0900,2.5785287419408675E-5
A20000304_1200,1.668597803649094E-6
A20000304_1500,3.293324682564752E-7
A20000304_1800,1.5491011663962203E-7
A20000304_2100,1.2007866988272465E-6
A20000305_0000,6.463957734297928E-5
A20000305_0300,1.1596179920336024E-4
A20000305_0600,1.0738916260200543E-4
A20000305_0900,2.7089756162544924E-5
A20000305_1200,1.08484718583764E-6
A20000305_1500,-4.4567614754417E-7
A20000305_1800,8.003583705071833E-7
A20000305_2100,1.7826985740217302E-6
A20000306_0000,4.492290601320318E-5
A20000306_0300,1.0697495324805197E-4
A20000306_0600,6.368812484006325E-5
A20000306_0900,7.652734386114118E-6
A20000306_1200,-1.0012104829597082E-6
A20000306_1500,3.6169034100918446E-6
A20000306_1800,2.6798239614821135E-6
A20000306_2100,1.292873605407328E-6
A20000307_0000,4.020842200797944E-5
A20000307_0300,1.0150946343424739E-4
A20000307_0600,5.7443024052837994E-5
A20000307_0900,8.28531446070693E-6
A20000307_1200,1.8161793864247066E-6
A20000307_1500,3.131351265764806E-6
A20000307_1800,2.686667815961956E-6
A20000307_2100,2.8356840269374915E-6
A20000308_0000,1.6811819731485062E-5
A20000308_0300,4.767536462535429E-5
A20000308_0600,3.60943044814897E-5
A20000308_0900,7.778002417539399E-6
A20000308_1200,1.2413380734558676E-6
A20000308_1500,1.1335978445004294E-6
A20000308_1800,7.295303952543172E-7
A20000308_2100,1.3554046521376652E-6
A20000309_0000,3.194804426861588E-5
A20000309_0300,9.355955497140376E-5
A20000309_0600,6.15087673102998E-5
A20000309_0900,9.950502036873212E-6
A20000309_1200,2.578022238145339E-7
A20000309_1500,1.6896470994284148E-6
A20000309_1800,1.4978065812802253E-6
A20000309_2100,2.9438836064556228E-6
A20000310_0000,3.289909054674976E-5
A20000310_0300,7.404719685986611E-5
A20000310_0600,5.6253759632543945E-5
A20000310_0900,1.7931507203643995E-5
A20000310_1200,3.709270594822763E-6
A20000310_1500,3.113835555636493E-6
A20000310_1800,7.928619280852901E-7
A20000310_2100,1.9029613495535931E-6
A20000311_0000,5.34873028330437E-5
A20000311_0300,1.1803533380675426E-4
A20000311_0600,6.307245934135119E-5
A20000311_0900,1.1140859627119792E-5
A20000311_1200,1.3519397526133005E-7
