system:index,uncertainty
20200331_20200429,1.7211895025371249
20200430_20200530,1.723065057879243
20200531_20200629,1.7190450730955014
20200630_20200730,1.7225070262278506
20200731_20200830,1.7214077478036063
20200831_20200929,1.7191445206399982
20200930_20201030,1.7230811919282825
20201031_20201129,1.7245492102509248
20201130_20201230,1.7229159868725985
20201231_20210130,1.720922852483938
20210131_20210227,1.7244121385429771
20210228_20210330,1.7178813815698188
20210331_20210429,1.7146291887798617
20210430_20210530,1.7188036836493599
20210531_20210629,1.7156601260445201
20210630_20210730,1.7151911748425017
20210731_20210830,1.7178386935712466
20210831_20210929,1.718260939522541
20210930_20211030,1.7159905783299407
20211031_20211129,1.7248813561088825
20211130_20211230,1.720127857191323
20211231_20220130,1.7200210540711593
20220131_20220227,1.7298316909288427
20220228_20220330,1.7236178796549912
20220331_20220429,1.7237647717032496
20220430_20220530,1.726246966461885
20220531_20220629,1.727870395711569
20220630_20220730,1.72894737622108
20220731_20220830,1.7379135374862549
20220831_20220929,1.7333627125137676
20220930_20221030,1.735491120747015
20221031_20221129,1.739280324200317
20221130_20221230,1.7411767814525183
20221231_20230130,1.7362545933045286
20230131_20230227,1.7387259053676323
20230228_20230330,1.7364692214940813
20230331_20230429,1.733901046908272
20230430_20230530,1.7346875653508929
20230531_20230629,1.7363639552635557
20230630_20230730,1.7311893319147564
20230731_20230830,1.7326918318871207
20230831_20230929,1.7333671904885537
20230930_20231030,1.7320646598261353
20231031_20231129,1.8734972135446517
20231130_20231230,2.015853350032623
20231231_20240130,2.1587950529559987
20240131_20240228,2.293564715769011
20240229_20240330,2.433802476203078
20240331_20240429,2.5740617601193203
20240430_20240530,2.7150376833835814
20240531_20240629,2.858380034518423
20240630_20240730,3.740166235612164
20240731_20240830,4.69562433037771
20240831_20240929,5.739826389570731
20240930_20241030,6.830838595076832
