Date,P,Ep,Qobs,Qsim
2020-05-23,2.5819607219565364,0.0012585107297049,7.915,2.8387369277073824
2020-05-24,5.818212285484235,0.0009833536572849925,8.213,2.7652237313966483
2020-05-25,13.254227746992758,0.0011804008352934,9.227,2.821434880571979
2020-05-26,0.0,0.0015615314211502,9.131,2.931375626575061
2020-05-27,0.0,0.0012554090649923,19.241,2.9591997850859793
2020-05-28,0.0,0.0011468703217143,30.852,2.8244594146485325
2020-05-29,0.0,0.0010610352809146,24.732,2.734570280097493
2020-05-30,0.0,0.0011751847890099,20.313,2.6917258256411642
2020-05-31,0.0,0.0014223232767915,17.443,2.658152881037354
2020-06-01,1.3387163047773143,0.0017737366748528,15.458,2.628336118302273
2020-06-02,0.3762896332529163,0.0010611796569896,13.501,2.6031667491308292
2020-06-03,1.1090808071126768,0.0008404763561114008,12.032,2.582014137669402
2020-06-04,1.295896904271303,0.0007308437815181925,10.965,2.5604457066732924
2020-06-05,8.364571776606073e-05,0.0012577906006472,10.216,2.540500837538672
2020-06-06,0.0,0.0011911360381617,9.659,2.5152754065355305
2020-06-07,0.0,0.0011870783653231,9.261,2.483903682660514
2020-06-08,0.0,0.0008598767758644733,8.779,2.4529228301736907
2020-06-09,0.0,0.0009935072524604677,8.51,2.4223283909071185
2020-06-10,0.0,0.0011758542600677,8.532,2.3921155452653116
2020-06-11,5.835752896504815,0.0013393027697162,9.663,2.379877656159472
2020-06-12,4.128620428040246,0.000646547205523237,14.878,2.3926274260311358
2020-06-13,38.70959656178008,0.0010509191716953,20.121,2.6533673742610153
2020-06-14,0.2164954098941922,0.0015297830925384,20.976,3.091101699210879
2020-06-15,4.265688028405062e-06,0.0015060733864681,18.536,3.4573758662391376
2020-06-16,0.0,0.0013530363481204,17.369,3.286028401622781
2020-06-17,0.0,0.0013644404826427,18.137,3.1182696754824404
2020-06-18,0.0,0.0009329507241214308,19.235,2.9569119018261114
2020-06-19,0.0,0.0011868582297044,17.143,2.805048690242456
2020-06-20,0.0,0.0011855699032964,17.273,2.684340221875333
2020-06-21,0.0,0.0016654725512735,19.026,2.612116510411145
2020-06-22,0.0,0.001201505377853,19.031,2.5795365046515153
2020-06-23,0.0,0.0011003535853496,18.014,2.5473628577855525
2020-06-24,0.0,0.0009336135335414588,18.007,2.515590501442437
2020-06-25,0.0,0.0010953644812781,20.627,2.4842144304673472
2020-06-26,0.0,0.001215670181184,21.314,2.45322970213299
2020-06-27,0.0,0.0009261327246070536,19.617,2.422631435360959
2020-06-28,0.0,0.0011200353756606,17.595,2.392414809952816
2020-06-29,0.0,0.0008474692788002236,16.067,2.362575065830753
2020-06-30,0.0,0.0012265850326408,14.86,2.3331075022877292
2020-07-01,0.0,0.0014274900036786,13.882,2.304007477246961
2020-07-02,0.0,0.001395531911342,13.076,2.2752704065306477
2020-07-03,10.593429158637354,0.0014203522525782,12.41,2.296800154165883
2020-07-04,0.0,0.0010065737522544,11.796,2.345137940048555
2020-07-05,0.0,0.0008184217857484965,11.165,2.369365825475346
2020-07-06,0.0,0.0010148875354907,10.56,2.292799562504955
2020-07-07,0.1439612111165231,0.0008880302400850667,10.155,2.263210783356049
2020-07-08,0.0,0.0006994852614007103,9.895,2.2357002757647106
2020-07-09,0.3053581513080401,0.0009660764104881744,9.635,2.209294037661074
2020-07-10,14.571486511067404,0.001168904398297,9.285,2.260196554088851
2020-07-11,0.7984077468960317,0.0010332869682418,9.157,2.3694117492624187
2020-07-12,0.0,0.0014318649834342,9.096,2.437117451477241
2020-07-13,5.079210685886329,0.0014708618323164,9.005,2.342134258545003
2020-07-14,1.636625606329681,0.001506972361074,9.473,2.3010575013262207
2020-07-15,0.0,0.0009646960225275688,10.848,2.305847069454827
2020-07-16,4.115037116316175,0.0010696546237579,11.635,2.2955084733606017
2020-07-17,7.242156073685596,0.0004445949959483672,15.55,2.314568453842908
2020-07-18,0.0283961706427374,0.0009992997608619897,13.989,2.351518757793845
2020-07-19,2.348473862719065e-07,0.0015512594483419,12.57,2.358445199991391
2020-07-20,0.0013693632542591,0.0014719621140415,14.268,2.3109459089227786
2020-07-21,0.0,0.0010453931319412,13.228,2.2821291274928175
2020-07-22,1.426668150903953,0.0008658803319841851,11.91,2.2572286717132406
2020-07-23,0.0,0.0012518743709243,10.95,2.2361888670895076
2020-07-24,0.0,0.0010043918352545,10.269,2.215411484510531
2020-07-25,13.423982742775737,0.0011918365094517,9.766,2.2569358152638666
2020-07-26,8.251158263595196,0.0019227525401511,9.559,2.3999185519885153
2020-07-27,1.7235488723503578,0.0016089977469386,38.589,2.561987608795533
2020-07-28,0.0,0.0011384073335762,136.01,2.548662379616117
2020-07-29,0.0,0.0015754602589078,149.615,2.43817591652708
2020-07-30,0.0,0.0012142880847136,127.806,2.3443903379140894
2020-07-31,0.0,0.0010660673510625,84.735,2.2979942134741815
2020-08-01,0.0,0.0016323043924758,59.703,2.2693321440710066
2020-08-02,0.0,0.0017483202803777,45.685,2.2410275665264514
2020-08-03,0.0,0.0018120044878425,37.261,2.2130760219709495
2020-08-04,0.0,0.0018936316982222,31.619,2.185473107148838
2020-08-05,0.0,0.0019056719630162,27.555,2.1582144737247044
2020-08-06,2.468482507399228,0.0017408970528911,24.359,2.1374480561940032
2020-08-07,30.97002458229478,0.0007451530446658818,21.878,2.3113907431794587
2020-08-08,0.0,0.0018334844765769,20.204,2.6456526191268632
2020-08-09,0.0,0.0018007195501047,19.748,2.912699779223978
2020-08-10,0.1467708412114777,0.0018134180756146,20.338,2.7518013144335223
2020-08-11,0.0261535830374246,0.001394451073534,22.654,2.598331054951912
2020-08-12,0.0,0.0015194597956835,33.922,2.4597889088865466
2020-08-13,0.0,0.0017943072829911,41.421,2.3554087804259383
2020-08-14,14.906835298080196,0.0019697880217848,34.733,2.3778026513317805
2020-08-15,0.0,0.0018941134162882,29.638,2.483187074570644
2020-08-16,0.0,0.0017286395245208,27.532,2.545174805961443
2020-08-17,0.0,0.001482812614504,27.079,2.4292652020273557
2020-08-18,0.0,0.0018707725236055,26.572,2.361727564373136
2020-08-19,0.0,0.0023979591096589,24.679,2.3322705714161716
2020-08-20,0.0,0.0017603048703944,22.307,2.3031809851182796
2020-08-21,0.0,0.0019159036559006,20.082,2.2744542229460936
2020-08-22,0.0,0.0020072564144537,18.422,2.246085759522564
2020-08-23,0.0,0.0015948878953864,17.17,2.2180711259140695
2020-08-24,0.0,0.0016614273874295,16.343,2.1904059089264196
2020-08-25,0.0,0.0016782553099341,16.593,2.1630857504096324
2020-08-26,0.0,0.0016909275761284,15.862,2.136106346571392
2020-08-27,0.0,0.0022935563796297,15.031,2.1094634472990608
2020-08-28,0.0,0.0019728047547963,14.206,2.0831528554901553
2020-08-29,0.0,0.0021562259337966,13.359,2.057170426391166
2020-08-30,0.0,0.0023566555874391,12.597,2.0315120669446287
2020-08-31,0.0,0.0024594160580859,12.028,2.006173735144339
2020-09-01,0.0,0.001770122006942,11.639,1.9811514393986067
2020-09-02,0.0,0.0024631802168756,11.063,1.956441237901452
2020-09-03,0.0,0.0026096049825472,10.552,1.932039238011649
2020-09-04,1.7015778577534553,0.0025984737343911,10.389,1.9121787765263343
2020-09-05,0.0,0.0022163523887048,9.933,1.8968032084425825
2020-09-06,0.0,0.0014463458761951,9.395,1.8816194143837288
2020-09-07,0.0,0.0019948746422659,8.933,1.8581506406465254
2020-09-08,0.0,0.0022728943714423,8.679,1.8349745846271124
2020-09-09,2.5355087953384783,0.0016761025979174,8.392,1.81839958696762
2020-09-10,0.0,0.0028084859588254,8.449,1.8083433150008295
2020-09-11,1.6939317920503525,0.0019653393961685,9.463,1.8026295194638697
2020-09-12,0.0,0.0024406404923652,11.743,1.7885800549699975
2020-09-13,0.6598435148450639,0.0026340900345426,17.494,1.7763484451264029
